"training_id","tender_id","department","category","location","estimated_value","final_contract_value","number_of_bidders","winning_vendor","vendor_specialization","is_specialized_for_tender","historical_win_rate","previous_tenders","previous_wins","vendor_a_bid","vendor_b_bid","vendor_c_bid","bid_similarity_percent","a_won_comparable_tenders","b_c_repeatedly_participated","comparable_tenders","average_comparable_price","current_price_vs_comparable_percent","network_relationship_strength","shared_tenders","regional_price_variation","market_price_increase","investigation_priority"
315,"TND-ML-00315","Municipal Corporation","Bridge construction","Udupi",184635666.97,178870858.74,9,"Vendor 400","Infrastructure",True,56.25,16,9,179756338.16,176963002.12,182128864.39,61.00,4,False,11,160278547.26,11.60,0.33,5,2.66,6.69,38.46
316,"TND-ML-00316","Urban Development Department","Bridge construction","Tumakuru",10450512.04,11074418.76,9,"Vendor 301","Equipment Supply",True,83.08,65,54,11099427.95,11016326.43,11278620.36,73.81,7,False,18,8926663.52,24.06,0.57,13,7.54,8.66,52.51
317,"TND-ML-00317","Rural Development Department","Bridge construction","Ballari",114323593.60,138622895.10,9,"Vendor 229","Infrastructure",True,32.22,90,29,138044000.35,137429411.52,140997060.11,79.18,8,False,11,108434680.15,27.84,0.63,10,3.00,7.09,56.84
318,"TND-ML-00318","Municipal Corporation","Road construction","Hubballi",33423970.85,31666553.01,3,"Vendor 365","Construction",True,60.00,15,9,31148091.70,31413631.94,31473037.09,59.24,3,False,8,28613493.28,10.67,0.41,7,0.65,8.16,38.51
319,"TND-ML-00319","Rural Development Department","Infrastructure","Shivamogga",11843261.36,11997207.65,10,"Vendor 448","Infrastructure",True,41.67,96,40,11936300.65,11871432.66,11927677.81,64.74,4,False,9,10914490.22,9.92,0.38,6,5.13,2.86,33.97
320,"TND-ML-00320","Rural Development Department","Road construction","Mysuru",195479729.75,224874086.50,3,"Vendor 207","Equipment Supply",True,88.24,17,15,221682518.11,222715263.98,226231317.62,74.50,7,False,13,178485662.75,25.99,0.74,15,1.67,2.44,62.56
321,"TND-ML-00321","Municipal Corporation","Healthcare","Belagavi",106294521.85,132240972.16,10,"Vendor 096","Construction",False,52.63,76,40,131728301.86,132377422.42,130418214.32,82.13,7,True,5,101849177.57,29.84,0.65,11,1.51,7.32,69.44
322,"TND-ML-00322","Water Resources Department","Equipment Supply","Udupi",199709698.17,243880540.07,7,"Vendor 073","Infrastructure",False,65.08,63,41,242387867.63,239550458.99,241910716.44,72.06,5,False,15,195120041.66,24.99,0.63,10,0.73,3.83,59.66
323,"TND-ML-00323","Urban Development Department","Road construction","Davangere",13674641.33,16325442.75,4,"Vendor 150","IT Services",True,42.86,70,30,16099932.28,16075182.65,16341863.06,74.87,6,False,8,13275955.72,22.97,0.72,13,7.07,7.75,51.60
324,"TND-ML-00324","Public Works Department","Bridge construction","Udupi",23662695.56,25658476.09,10,"Vendor 315","Equipment Supply",True,19.44,36,7,25768992.19,25538643.94,26158276.87,66.71,4,False,8,22754945.10,12.76,0.42,11,7.67,7.88,33.35
325,"TND-ML-00325","Municipal Corporation","Road construction","Tumakuru",135940678.22,145000843.95,5,"Vendor 442","Healthcare",False,33.33,24,8,145106277.02,142684259.92,143854908.22,65.52,4,False,16,125748715.59,15.31,0.39,10,3.07,4.43,37.50
326,"TND-ML-00326","Urban Development Department","Equipment Supply","Hubballi",73140856.85,97812386.85,9,"Vendor 074","Equipment Supply",False,52.73,55,29,97408542.55,98022374.75,97133361.89,93.40,10,True,12,69995983.15,39.74,0.92,16,3.59,1.90,84.20
327,"TND-ML-00327","Municipal Corporation","Infrastructure","Mysuru",99648893.73,100400969.24,5,"Vendor 382","Infrastructure",False,51.25,80,41,99335139.62,100375304.12,101741246.66,64.99,4,False,7,89189810.11,12.57,0.34,5,3.69,7.01,36.58
328,"TND-ML-00328","Rural Development Department","Road construction","Udupi",64809537.20,79787354.47,6,"Vendor 274","Equipment Supply",True,43.14,51,22,80065495.28,80901446.23,80346548.43,95.96,9,True,6,58187977.30,37.12,0.99,20,1.37,8.58,85.09
329,"TND-ML-00329","Urban Development Department","Road construction","Tumakuru",161357641.33,223614070.25,10,"Vendor 170","Consulting",False,54.55,11,6,223916663.73,226599344.05,224947380.73,91.97,9,True,5,157142705.73,42.30,0.91,16,2.75,4.87,84.88
330,"TND-ML-00330","Public Works Department","Consulting","Belagavi",69800474.87,85072922.54,7,"Vendor 442","Equipment Supply",True,69.79,96,67,85263599.87,85888234.39,85509119.56,85.83,7,True,9,65065332.73,30.75,0.78,18,2.52,7.64,75.24
331,"TND-ML-00331","Water Resources Department","Consulting","Belagavi",54759269.13,55122732.96,7,"Vendor 273","Construction",True,56.67,30,17,55270189.68,54965079.74,56090298.17,69.32,5,False,18,48378737.02,13.94,0.45,9,5.35,7.34,44.45
332,"TND-ML-00332","Rural Development Department","IT Services","Tumakuru",120854652.54,121611854.47,6,"Vendor 473","Healthcare",False,56.25,32,18,120519078.56,123321630.78,123615681.04,58.91,3,False,16,111020498.88,9.54,0.39,10,6.31,3.86,38.44
333,"TND-ML-00333","Municipal Corporation","Healthcare","Mysuru",187165048.19,180024188.99,6,"Vendor 091","Consulting",False,75.64,78,59,178236008.41,177441247.65,176681734.09,59.21,4,False,15,163762566.17,9.93,0.37,4,7.96,5.63,32.91
334,"TND-ML-00334","Municipal Corporation","Infrastructure","Ballari",186985009.11,217745211.60,4,"Vendor 109","Infrastructure",False,61.54,52,32,215943484.90,214846367.46,221631365.01,87.01,8,True,12,160697573.14,35.50,0.79,16,1.55,6.97,78.86
335,"TND-ML-00335","Urban Development Department","Infrastructure","Mysuru",11131499.80,11541080.71,8,"Vendor 047","Consulting",False,61.36,44,27,11405219.37,11323078.22,11755745.19,57.20,4,False,19,10085712.41,14.43,0.39,8,2.01,2.24,41.63
336,"TND-ML-00336","Urban Development Department","Consulting","Ballari",135688707.20,159409992.12,7,"Vendor 500","IT Services",False,44.19,86,38,157400928.64,158955477.46,158222066.95,69.47,5,False,17,132510384.14,20.30,0.49,6,4.20,2.45,46.49
337,"TND-ML-00337","Rural Development Department","Road construction","Udupi",123006591.48,139825844.27,3,"Vendor 341","Consulting",True,50.00,10,5,138842912.33,137436490.74,140016721.61,69.97,6,False,17,115196773.99,21.38,0.52,7,5.82,5.90,46.98
338,"TND-ML-00338","Urban Development Department","IT Services","Belagavi",74192830.83,96628319.65,4,"Vendor 028","Infrastructure",True,75.64,78,59,95933422.28,96053904.97,96929276.59,82.27,8,True,9,72391608.97,33.48,0.79,15,5.93,7.14,77.09
339,"TND-ML-00339","Public Works Department","Consulting","Tumakuru",157906626.88,174291882.31,9,"Vendor 305","Consulting",True,60.00,30,18,172600594.86,176453976.02,176325580.82,80.53,7,True,15,136006150.85,28.15,0.76,17,7.44,5.83,68.95
340,"TND-ML-00340","Municipal Corporation","Bridge construction","Mangaluru",171367303.08,183194967.87,3,"Vendor 348","Healthcare",False,69.70,66,46,180424377.84,184009443.97,179894552.57,59.00,4,False,15,157397515.14,16.39,0.43,7,5.62,2.91,46.11
341,"TND-ML-00341","Rural Development Department","Equipment Supply","Bengaluru",166555144.42,197957642.43,6,"Vendor 115","Healthcare",False,86.49,74,64,194336547.81,199011224.71,200932935.37,90.19,9,True,16,143718340.66,37.74,0.96,17,0.34,1.70,86.36
342,"TND-ML-00342","Public Works Department","Equipment Supply","Belagavi",164149256.32,181523666.77,5,"Vendor 365","IT Services",False,40.54,74,30,179830626.28,184090533.40,178787065.35,66.67,6,False,11,149870926.99,21.12,0.59,12,5.97,2.13,48.08
343,"TND-ML-00343","Public Works Department","Healthcare","Ballari",49706875.68,59403317.30,10,"Vendor 467","IT Services",True,50.00,36,18,58289508.58,58860839.08,59495485.72,75.41,7,False,17,47644624.08,24.68,0.54,12,5.23,4.63,55.97
344,"TND-ML-00344","Rural Development Department","IT Services","Ballari",62232577.34,71233794.18,7,"Vendor 325","IT Services",True,49.38,81,40,71274857.49,71368290.68,72031641.97,66.22,5,False,13,59027008.77,20.68,0.51,12,4.94,8.75,46.01
345,"TND-ML-00345","Public Works Department","Infrastructure","Udupi",32603077.83,34549911.12,9,"Vendor 370","Construction",False,82.98,94,78,34527043.84,34803026.77,35029226.72,67.29,5,False,12,28162627.26,22.68,0.47,8,4.57,4.67,53.49
346,"TND-ML-00346","Urban Development Department","Consulting","Udupi",145248837.30,150791006.05,6,"Vendor 047","Equipment Supply",True,32.43,37,12,149221853.37,151295375.99,149154622.85,75.45,7,False,8,123427196.57,22.17,0.61,9,3.75,5.56,49.65
347,"TND-ML-00347","Municipal Corporation","Road construction","Ballari",116895946.27,123754224.70,5,"Vendor 054","IT Services",True,53.76,93,50,122956150.81,122164313.72,126085643.32,78.10,7,False,13,100760645.42,22.82,0.70,13,0.80,4.04,58.56
348,"TND-ML-00348","Rural Development Department","Equipment Supply","Ballari",175296608.90,215034945.70,8,"Vendor 330","Construction",False,39.44,71,28,212731958.94,210853125.58,214196461.84,87.31,9,True,8,162929948.25,31.98,0.81,15,5.87,8.26,70.25
349,"TND-ML-00349","Rural Development Department","Equipment Supply","Hubballi",10089136.64,10251282.73,8,"Vendor 382","Healthcare",True,40.91,88,36,10157407.46,10064791.89,10380617.40,63.16,5,False,17,9049508.06,13.28,0.45,8,3.50,5.16,40.96
350,"TND-ML-00350","Rural Development Department","Infrastructure","Mangaluru",89084790.68,84671961.00,6,"Vendor 139","IT Services",True,61.97,71,44,83564315.35,83101038.91,83253889.92,57.72,4,False,16,77981176.09,8.58,0.34,7,6.58,2.83,37.88
351,"TND-ML-00351","Municipal Corporation","Infrastructure","Udupi",196200889.64,202829123.32,6,"Vendor 171","Infrastructure",True,34.48,29,10,202663485.68,199117776.13,202562696.44,54.61,4,False,7,179130198.11,13.23,0.27,9,7.37,5.21,33.98
352,"TND-ML-00352","Rural Development Department","Healthcare","Tumakuru",93797097.39,107258169.85,6,"Vendor 312","Construction",True,43.82,89,39,105974733.19,107158820.51,105659145.86,89.70,10,True,11,79757711.07,34.48,0.82,18,6.25,2.13,79.82
353,"TND-ML-00353","Urban Development Department","Road construction","Davangere",96147727.15,122046962.51,4,"Vendor 137","Equipment Supply",True,29.41,17,5,121707212.40,123698410.05,119769839.17,93.12,9,True,5,87639639.89,39.26,0.88,20,7.36,1.43,79.02
354,"TND-ML-00354","Public Works Department","Healthcare","Ballari",164112056.23,175935899.30,6,"Vendor 433","Infrastructure",False,82.56,86,71,176117184.29,174629260.39,176661049.30,77.66,5,False,16,139953781.96,25.71,0.66,14,4.50,3.61,63.80
355,"TND-ML-00355","Water Resources Department","Road construction","Shivamogga",161021828.59,167563895.77,10,"Vendor 205","Construction",True,60.66,61,37,165612304.65,165220914.03,165338062.32,63.35,5,False,12,150214160.26,11.55,0.38,6,4.96,7.05,38.05
356,"TND-ML-00356","Public Works Department","Healthcare","Tumakuru",110629912.52,135768417.09,8,"Vendor 461","Equipment Supply",True,81.48,27,22,133916414.23,137479068.53,137984691.30,82.32,7,False,12,104759581.09,29.60,0.71,12,3.26,6.01,63.51
357,"TND-ML-00357","Public Works Department","IT Services","Shivamogga",37034757.78,38566996.05,9,"Vendor 285","Infrastructure",False,54.43,79,43,38623868.78,38000593.15,37966822.68,61.20,5,False,17,32573476.39,18.40,0.48,11,1.05,1.67,49.01
358,"TND-ML-00358","Municipal Corporation","Infrastructure","Mangaluru",156205287.31,197354380.87,3,"Vendor 146","Construction",True,81.48,81,66,194902151.41,193886867.55,198714844.27,97.03,10,True,6,139542092.11,41.43,0.99,20,6.03,3.76,92.13
359,"TND-ML-00359","Public Works Department","Consulting","Shivamogga",90762572.63,102262195.52,10,"Vendor 091","Construction",True,79.22,77,61,100508434.76,102582559.71,101111534.56,93.34,10,True,11,76377769.45,33.89,0.87,15,7.27,6.66,79.70
360,"TND-ML-00360","Public Works Department","Road construction","Davangere",126060141.68,127989108.17,6,"Vendor 017","Healthcare",True,76.47,68,52,125495638.57,125841828.90,127578295.95,67.32,5,False,9,111488770.18,14.80,0.51,6,7.63,4.29,42.46
361,"TND-ML-00361","Rural Development Department","Healthcare","Davangere",104601659.75,125130997.14,10,"Vendor 450","Consulting",True,65.38,52,34,123298236.57,123254584.67,124506889.57,93.73,10,False,8,93604875.18,33.68,0.81,18,5.20,3.52,75.41
362,"TND-ML-00362","Public Works Department","Bridge construction","Mangaluru",118809841.09,148155305.67,4,"Vendor 104","Construction",True,47.62,21,10,145749121.63,146730055.96,148725587.92,91.86,9,True,10,105231412.51,40.79,0.95,18,7.21,1.33,83.55
363,"TND-ML-00363","Public Works Department","Infrastructure","Bengaluru",35035153.42,35713060.82,7,"Vendor 341","Consulting",False,45.26,95,43,35699900.63,36232389.43,35157522.89,67.26,5,False,14,29865412.96,19.58,0.61,12,5.95,7.05,48.41
364,"TND-ML-00364","Urban Development Department","Healthcare","Tumakuru",71258126.17,83051501.64,5,"Vendor 360","IT Services",False,52.53,99,52,81714555.38,82957945.50,81905336.75,76.95,8,False,15,67144879.65,23.69,0.68,10,6.82,6.47,57.21
365,"TND-ML-00365","Public Works Department","Equipment Supply","Hubballi",147613478.67,170016198.02,4,"Vendor 404","Healthcare",False,48.44,64,31,169079109.51,171860225.74,172168882.77,89.46,9,True,9,128498373.53,32.31,0.85,16,0.61,6.78,79.01
366,"TND-ML-00366","Municipal Corporation","Infrastructure","Udupi",28661743.58,36857969.20,6,"Vendor 036","Equipment Supply",True,55.67,97,54,36408596.87,37070318.42,36249655.34,88.55,8,False,16,27508000.00,33.99,0.92,14,3.48,1.66,71.94
367,"TND-ML-00367","Water Resources Department","Road construction","Mangaluru",83166199.93,86951909.68,5,"Vendor 214","Infrastructure",False,45.95,37,17,86816717.48,86881428.02,88275215.99,70.88,5,False,15,70372215.67,23.56,0.58,9,0.37,1.07,52.03
368,"TND-ML-00368","Water Resources Department","Healthcare","Ballari",154805617.62,151520809.23,7,"Vendor 157","Construction",True,61.04,77,47,151876674.18,152610783.61,150821476.66,59.87,4,False,11,133474990.51,13.52,0.39,6,2.33,7.46,39.49
369,"TND-ML-00369","Water Resources Department","IT Services","Mysuru",96945501.25,117730293.13,5,"Vendor 028","Equipment Supply",True,39.44,71,28,118282054.26,118593440.46,116533201.65,92.00,9,True,19,83746118.32,40.58,0.99,20,5.77,8.03,83.49
370,"TND-ML-00370","Municipal Corporation","IT Services","Mysuru",21492587.48,28597310.20,9,"Vendor 238","Construction",True,50.56,89,45,28111581.68,28983558.92,28142806.30,93.90,9,True,15,19831699.17,44.20,0.98,17,2.48,3.19,87.35
371,"TND-ML-00371","Public Works Department","Road construction","Mangaluru",139780474.76,142459894.04,4,"Vendor 474","Infrastructure",True,30.21,96,29,140111270.15,143402039.37,143352065.43,70.51,6,False,13,122831431.32,15.98,0.54,10,5.58,2.00,43.44
372,"TND-ML-00372","Rural Development Department","Road construction","Bengaluru",41440966.63,42536244.33,10,"Vendor 404","Equipment Supply",True,58.59,99,58,42669851.74,42017797.96,42401249.09,59.29,3,False,14,38831700.14,9.54,0.29,9,3.81,1.91,35.03
373,"TND-ML-00373","Water Resources Department","Infrastructure","Shivamogga",31117382.81,35879950.26,9,"Vendor 479","Equipment Supply",True,84.27,89,75,35623728.40,35627403.91,35345743.78,79.22,8,False,16,28359113.39,26.52,0.66,12,3.75,8.69,63.79
374,"TND-ML-00374","Water Resources Department","Road construction","Bengaluru",30738571.38,36058089.81,3,"Vendor 158","Infrastructure",False,27.03,37,10,36215562.27,36254609.92,35941962.14,86.55,8,True,18,26061065.20,38.36,0.83,16,7.32,8.96,73.43
375,"TND-ML-00375","Urban Development Department","Consulting","Davangere",38671007.35,46516964.12,4,"Vendor 337","Infrastructure",True,72.73,66,48,45617954.77,47115046.94,46733148.63,74.81,7,False,5,37024008.37,25.64,0.62,13,3.99,4.14,62.78
376,"TND-ML-00376","Rural Development Department","Infrastructure","Mangaluru",78631160.88,75076487.87,6,"Vendor 207","Construction",False,41.86,43,18,73658025.77,75456388.18,75575016.36,55.45,4,False,5,66053570.18,13.66,0.37,6,1.47,3.56,35.42
377,"TND-ML-00377","Urban Development Department","Equipment Supply","Hubballi",185578554.86,212184254.36,8,"Vendor 025","Consulting",False,68.42,19,13,208120096.58,210221966.46,211565339.37,69.15,6,False,9,179073554.19,18.49,0.60,11,3.36,6.19,53.59
378,"TND-ML-00378","Rural Development Department","Infrastructure","Tumakuru",122743940.50,131050418.40,10,"Vendor 027","Equipment Supply",True,24.24,99,24,128581311.82,128917148.52,131951393.73,66.42,6,False,12,108827784.75,20.42,0.46,11,0.24,3.50,46.88
379,"TND-ML-00379","Water Resources Department","Bridge construction","Ballari",195514843.65,196398467.97,8,"Vendor 426","IT Services",True,60.76,79,48,197217533.67,193277876.21,192906042.96,57.07,4,False,11,186071499.73,5.55,0.23,8,1.30,8.55,32.79
380,"TND-ML-00380","Public Works Department","Healthcare","Belagavi",136330378.76,135466142.98,8,"Vendor 497","IT Services",False,57.38,61,35,136124060.30,134617554.64,135337571.64,60.69,3,False,8,118663404.85,14.16,0.30,4,6.95,2.20,35.15
381,"TND-ML-00381","Water Resources Department","Infrastructure","Mangaluru",117102787.81,139841511.16,10,"Vendor 375","Construction",True,83.33,12,10,140359066.37,141575951.65,138144912.12,74.89,6,False,19,114026020.19,22.64,0.67,14,0.91,3.14,64.71
382,"TND-ML-00382","Rural Development Department","IT Services","Tumakuru",35959014.27,40052849.06,5,"Vendor 197","Healthcare",False,66.67,21,14,39879612.61,39305347.39,39317000.54,72.63,6,False,11,33366252.13,20.04,0.51,9,5.54,7.91,50.87
383,"TND-ML-00383","Rural Development Department","Bridge construction","Udupi",78747604.17,89558306.82,4,"Vendor 150","Construction",True,80.00,45,36,89370610.29,89583055.94,89592408.96,82.34,7,False,16,72073319.51,24.26,0.67,16,5.95,5.23,57.63
384,"TND-ML-00384","Water Resources Department","IT Services","Tumakuru",114645793.05,126288095.83,5,"Vendor 310","Construction",True,40.70,86,35,124817717.51,127058220.62,128789559.62,59.93,3,False,8,110237513.82,14.56,0.30,6,1.19,6.30,34.72
385,"TND-ML-00385","Water Resources Department","Bridge construction","Mysuru",104866674.49,109498676.67,9,"Vendor 368","Healthcare",True,25.00,12,3,108767521.41,110773776.40,111370836.65,61.13,4,False,16,100781110.60,8.65,0.35,9,3.69,8.07,30.31
386,"TND-ML-00386","Rural Development Department","Infrastructure","Bengaluru",82114844.48,106826202.46,4,"Vendor 170","Healthcare",False,86.36,22,19,104993593.26,107139400.35,105062071.68,87.59,9,True,18,78867628.25,35.45,0.90,19,6.58,1.64,82.27
387,"TND-ML-00387","Rural Development Department","Bridge construction","Bengaluru",191069693.22,235835365.55,6,"Vendor 262","Infrastructure",True,29.63,54,16,233196248.06,238825681.67,237563629.84,88.31,8,True,8,171056332.45,37.87,0.80,14,1.41,4.35,76.77
388,"TND-ML-00388","Urban Development Department","IT Services","Davangere",172601492.23,197263841.85,6,"Vendor 319","Construction",True,53.33,30,16,196594030.76,194165977.64,194453007.91,83.07,8,True,14,146599169.03,34.56,0.84,17,5.33,6.95,76.01
389,"TND-ML-00389","Urban Development Department","Bridge construction","Ballari",108614391.65,112351029.46,10,"Vendor 272","Infrastructure",True,42.86,35,15,111303246.43,111456516.08,110623955.37,60.34,3,False,12,102500711.12,9.61,0.39,5,4.86,2.97,33.31
390,"TND-ML-00390","Municipal Corporation","Consulting","Mysuru",140187014.86,173278059.24,7,"Vendor 488","Consulting",True,37.93,58,22,171723938.86,175395572.98,173266312.05,73.96,7,False,15,136450160.83,26.99,0.66,10,4.53,3.60,54.36
391,"TND-ML-00391","Urban Development Department","Equipment Supply","Mangaluru",168758037.92,210114001.02,6,"Vendor 083","Healthcare",True,52.56,78,41,207324770.82,208216127.46,207133086.77,98.28,10,True,10,151009056.36,39.14,0.92,21,3.81,6.15,87.12
392,"TND-ML-00392","Urban Development Department","Equipment Supply","Belagavi",156582878.48,180779515.83,3,"Vendor 179","Healthcare",True,33.33,30,10,178724213.07,177666638.24,180901566.76,72.99,6,False,15,148581832.69,21.67,0.60,12,7.33,8.34,46.43
393,"TND-ML-00393","Public Works Department","Infrastructure","Tumakuru",56970942.97,63758897.41,7,"Vendor 424","Infrastructure",True,75.81,62,47,62688244.74,63869190.77,62977246.40,67.22,6,False,7,54322993.45,17.37,0.56,11,6.28,1.98,47.59
394,"TND-ML-00394","Water Resources Department","Healthcare","Davangere",188529817.24,222534629.95,7,"Vendor 331","Consulting",True,61.22,49,30,222432067.01,224024437.17,224295011.47,90.64,8,True,15,161761016.17,37.57,0.79,15,1.24,5.27,81.89
395,"TND-ML-00395","Rural Development Department","IT Services","Davangere",63419543.38,65973480.47,4,"Vendor 234","Healthcare",False,53.66,82,44,64694106.45,65144911.59,65141512.18,68.55,5,False,5,57983371.83,13.78,0.53,11,0.51,3.66,45.21
396,"TND-ML-00396","Public Works Department","Road construction","Tumakuru",26248543.52,32349843.37,10,"Vendor 457","Infrastructure",False,63.64,22,14,31898585.37,32590892.21,32285652.45,90.72,9,True,14,22967584.93,40.85,0.84,16,1.55,2.46,88.42
397,"TND-ML-00397","Public Works Department","Consulting","Mysuru",72919995.09,76561838.08,4,"Vendor 336","Infrastructure",True,26.67,75,20,75604665.14,76618949.57,75717061.32,60.18,3,False,14,69067963.99,10.85,0.28,8,1.35,2.60,33.09
398,"TND-ML-00398","Public Works Department","Healthcare","Bengaluru",168680053.89,162192747.18,8,"Vendor 091","Consulting",True,78.57,70,55,162036506.19,162790753.63,163051721.18,63.38,5,False,14,143254502.01,13.22,0.49,8,3.05,7.69,41.11
399,"TND-ML-00399","Rural Development Department","IT Services","Mangaluru",104680658.76,138717059.44,4,"Vendor 290","Healthcare",True,63.24,68,43,139102810.95,139453014.30,137503281.36,85.22,9,True,19,100607092.72,37.88,0.82,19,2.06,7.08,83.97
400,"TND-ML-00400","Rural Development Department","Equipment Supply","Bengaluru",80575303.16,95714707.87,5,"Vendor 284","Infrastructure",False,82.86,35,29,94172107.36,96748789.92,95413179.42,96.99,10,True,9,68377416.68,39.98,0.90,18,3.75,6.62,90.26
401,"TND-ML-00401","Water Resources Department","Equipment Supply","Ballari",188947816.23,207942681.04,10,"Vendor 445","Consulting",False,48.45,97,47,206159834.91,209125546.26,204873949.95,65.54,5,False,10,179322767.37,15.96,0.43,8,5.26,2.34,42.94
402,"TND-ML-00402","Municipal Corporation","IT Services","Udupi",86001014.48,101785149.75,6,"Vendor 236","Construction",True,26.92,26,7,100915065.57,101049092.94,103543126.38,73.08,6,False,6,82550810.83,23.30,0.61,13,2.95,1.26,53.98
403,"TND-ML-00403","Municipal Corporation","Consulting","Hubballi",109062074.80,132489176.45,8,"Vendor 036","Infrastructure",True,50.68,73,37,131069824.21,132017250.45,134547226.80,81.22,9,True,10,100059796.43,32.41,0.70,14,6.01,5.46,70.34
404,"TND-ML-00404","Municipal Corporation","Equipment Supply","Bengaluru",176670572.94,163129880.05,10,"Vendor 499","Infrastructure",True,73.68,38,28,162665430.87,161483861.35,161274455.30,55.98,4,False,15,151060172.28,7.99,0.30,4,4.18,2.36,35.86
405,"TND-ML-00405","Municipal Corporation","Infrastructure","Mysuru",160738709.31,165715314.90,8,"Vendor 307","Healthcare",True,30.56,36,11,166503708.08,167610756.96,165255951.85,77.33,6,False,7,135965962.34,21.88,0.66,10,7.58,4.29,47.51
406,"TND-ML-00406","Water Resources Department","Equipment Supply","Bengaluru",50580222.05,64173377.86,7,"Vendor 491","Healthcare",True,61.90,84,52,64046124.29,63562997.12,63602209.04,92.32,8,True,12,45413189.34,41.31,0.88,18,4.06,7.43,86.52
407,"TND-ML-00407","Water Resources Department","Bridge construction","Bengaluru",59743780.58,68324245.53,7,"Vendor 498","IT Services",True,54.74,95,52,68447356.39,68956072.59,68606319.26,70.52,4,False,14,57735546.33,18.34,0.55,9,1.10,8.39,49.34
408,"TND-ML-00408","Urban Development Department","Bridge construction","Tumakuru",188215822.75,240155859.25,4,"Vendor 141","IT Services",False,87.10,31,27,238810170.54,236835073.37,243730474.35,79.53,7,True,8,180813024.58,32.82,0.69,13,5.41,4.31,71.44
409,"TND-ML-00409","Rural Development Department","Infrastructure","Mangaluru",94540735.95,105859363.68,6,"Vendor 449","Equipment Supply",True,22.73,66,15,106002771.11,106764586.68,105320915.33,76.58,7,False,10,83676676.69,26.51,0.66,12,5.79,5.44,51.63
410,"TND-ML-00410","Public Works Department","Infrastructure","Udupi",111046255.30,146908304.03,10,"Vendor 218","Healthcare",True,79.49,39,31,144775107.42,145510045.94,145280405.15,94.79,9,True,15,104837154.09,40.13,0.98,18,1.62,2.14,86.53
411,"TND-ML-00411","Water Resources Department","Consulting","Mangaluru",128946372.47,149148397.01,10,"Vendor 343","Infrastructure",False,23.71,97,23,148708185.66,148027003.24,150716376.73,79.12,6,False,11,122554147.09,21.70,0.61,13,3.29,4.90,50.38
412,"TND-ML-00412","Municipal Corporation","Road construction","Belagavi",174771363.39,196679338.60,8,"Vendor 005","Consulting",True,52.38,21,11,197519107.75,199126819.70,199286807.10,65.52,6,False,9,162183011.96,21.27,0.51,9,2.74,4.21,51.61
413,"TND-ML-00413","Rural Development Department","Equipment Supply","Hubballi",15342169.78,16644469.58,4,"Vendor 418","Healthcare",True,63.64,33,21,16624355.72,16582306.59,16756610.00,57.94,5,False,19,14541734.74,14.46,0.36,10,4.42,4.83,44.28
414,"TND-ML-00414","Rural Development Department","Equipment Supply","Udupi",175871893.55,170086819.79,7,"Vendor 466","IT Services",True,70.59,17,12,169106855.95,167147840.93,166729481.46,62.67,5,False,7,153757747.05,10.62,0.41,6,1.01,1.29,42.71
415,"TND-ML-00415","Public Works Department","Healthcare","Belagavi",199379440.42,243787684.13,10,"Vendor 260","Consulting",True,56.47,85,48,240263408.07,244279828.26,239040062.61,75.84,7,False,10,187428064.99,30.07,0.69,16,3.96,2.10,63.86
416,"TND-ML-00416","Urban Development Department","Infrastructure","Belagavi",29959943.80,32216274.98,9,"Vendor 156","IT Services",False,24.39,82,20,31970564.25,31700062.64,31741035.55,66.57,4,False,14,27205096.25,18.42,0.48,10,3.57,1.52,42.33
417,"TND-ML-00417","Urban Development Department","Equipment Supply","Davangere",31751895.66,37314887.67,3,"Vendor 369","Equipment Supply",True,53.19,94,50,37234644.02,37122967.11,37027364.91,88.13,10,True,10,27907327.55,33.71,0.94,19,6.77,5.84,81.46
418,"TND-ML-00418","Urban Development Department","Equipment Supply","Hubballi",52615443.74,64847231.07,8,"Vendor 039","Construction",False,33.33,21,7,63695798.68,65766300.80,65839771.04,75.18,7,False,7,51511026.35,25.89,0.54,14,5.92,7.12,53.90
419,"TND-ML-00419","Water Resources Department","Bridge construction","Udupi",55929515.88,58277018.69,9,"Vendor 462","Construction",True,52.00,100,52,57173794.69,57437644.44,59380934.73,71.01,7,False,9,47996226.89,21.42,0.66,9,3.62,2.98,55.05
420,"TND-ML-00420","Urban Development Department","Bridge construction","Udupi",60077099.92,64974284.19,8,"Vendor 219","Construction",False,53.33,15,8,64690763.07,65435832.84,64385657.46,66.54,5,False,5,55320803.91,17.45,0.52,10,2.95,2.18,48.34
421,"TND-ML-00421","Public Works Department","Road construction","Shivamogga",115240280.28,135941202.95,4,"Vendor 491","Healthcare",True,72.29,83,60,133604425.79,137847247.84,133671809.49,80.44,8,True,15,105128143.96,29.31,0.66,16,4.47,3.52,73.09
422,"TND-ML-00422","Rural Development Department","Infrastructure","Belagavi",16036624.21,16914842.82,5,"Vendor 403","Construction",True,79.55,44,35,16599235.27,16838493.33,16709607.42,77.20,6,False,14,13510257.84,25.20,0.67,9,2.51,7.40,62.85
423,"TND-ML-00423","Municipal Corporation","Road construction","Belagavi",16959544.59,17628034.22,5,"Vendor 205","Equipment Supply",True,47.83,92,44,17422726.96,17730652.08,17729996.48,61.15,4,False,13,16002209.71,10.16,0.42,5,6.86,3.76,35.89
